"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"FR",2018-08-24,2018,8,24,6,43917.7083333333,-9880.24680365297,0,20.1171568625401
"FR",2018-08-25,2018,8,25,7,39225.875,-14572.0801369863,0,17.6194341613216
"FR",2018-08-26,2018,8,26,1,37043.2916666667,-16754.6634703196,0,18.8574791372129
"FR",2018-08-27,2018,8,27,2,44504.5833333333,-9293.37180365297,0,20.428387287147
"FR",2018-08-28,2018,8,28,3,46472.125,-7325.8301369863,0,21.7467268028987
"FR",2018-08-29,2018,8,29,4,46370.375,-7427.5801369863,0,20.7460175566464
"FR",2018-08-30,2018,8,30,5,46314.6666666667,-7483.28847031964,0,19.2089998476523
"FR",2018-08-31,2018,8,31,6,45684.6666666667,-8113.28847031964,0,19.6311943462129
"FR",2018-09-01,2018,9,1,7,40690.75,-13107.2051369863,0,19.2863669556256
"FR",2018-09-02,2018,9,2,1,38662.0416666667,-15135.9134703196,0,19.420844722824
"FR",2018-09-03,2018,9,3,2,45866.9583333333,-7930.99680365297,0,19.8441418397723
"FR",2018-09-04,2018,9,4,3,47159.75,-6638.2051369863,0,20.1333918610633
"FR",2018-09-05,2018,9,5,4,47515.0416666667,-6282.91347031964,0,21.1597848565806
"FR",2018-09-06,2018,9,6,5,47213.0416666667,-6584.91347031964,0,19.6098989222339
"FR",2018-09-07,2018,9,7,6,46390.8333333333,-7407.12180365297,0,18.8734456246166
"FR",2018-09-08,2018,9,8,7,41074.5416666667,-12723.4134703196,0,18.9847089858813
"FR",2018-09-09,2018,9,9,1,39080.125,-14717.8301369863,0,21.1263326697217
"FR",2018-09-10,2018,9,10,2,46414.5833333333,-7383.37180365297,0,20.7446296730713
"FR",2018-09-11,2018,9,11,3,47935.5833333333,-5862.37180365297,0,22.1301793451891
"FR",2018-09-12,2018,9,12,4,48020.1666666667,-5777.78847031964,0,21.6511273661811
"FR",2018-09-13,2018,9,13,5,47675.75,-6122.2051369863,0,19.5865351235376
"FR",2018-09-14,2018,9,14,6,46937.0833333333,-6860.87180365297,0,19.1182017058763
"FR",2018-09-15,2018,9,15,7,41538.7083333333,-12259.246803653,0,18.3207912687053
"FR",2018-09-16,2018,9,16,1,39509,-14288.9551369863,0,19.996976601592
"FR",2018-09-17,2018,9,17,2,46806.375,-6991.5801369863,0,20.0522762993986
"FR",2018-09-18,2018,9,18,3,47517.875,-6280.0801369863,0,22.3614253195783
"FR",2018-09-19,2018,9,19,4,47898.7916666667,-5899.16347031964,0,21.7870639638815
"FR",2018-09-20,2018,9,20,5,47671.3333333333,-6126.62180365297,0,21.5531192325132
"FR",2018-09-21,2018,9,21,6,46754.625,-7043.3301369863,0,19.5135996198694
"FR",2018-09-22,2018,9,22,7,41350.5416666667,-12447.4134703196,0,17.7092397848622
"FR",2018-09-23,2018,9,23,1,39677.75,-14120.2051369863,0,20.4946450541977
"FR",2018-09-24,2018,9,24,2,46634.6666666667,-7163.28847031964,0,15.2577114640059
"FR",2018-09-25,2018,9,25,3,47997.1666666667,-5800.78847031964,0,14.7982379097168
"FR",2018-09-26,2018,9,26,4,48690.125,-5107.8301369863,0,16.4482607618752
"FR",2018-09-27,2018,9,27,5,48520.2916666667,-5277.66347031964,0,17.7908329322532
"FR",2018-09-28,2018,9,28,6,47486.3333333333,-6311.62180365297,0,17.5250744280653
"FR",2018-09-29,2018,9,29,7,42391.0833333333,-11406.871803653,0,15.8325607366326
"FR",2018-09-30,2018,9,30,1,40933.5,-12864.4551369863,0,15.0783623860302
"FR",2018-10-01,2018,10,1,2,48467.375,-5330.5801369863,0,13.8450691676783
"FR",2018-10-02,2018,10,2,3,50293.4166666667,-3504.53847031964,0,13.7474534165127
"FR",2018-10-03,2018,10,3,4,50052.875,-3745.0801369863,0,16.6180227913866
"FR",2018-10-04,2018,10,4,5,48883.6666666667,-4914.28847031964,0,16.6315283264317
"FR",2018-10-05,2018,10,5,6,48410,-5387.9551369863,0,17.5717207361698
"FR",2018-10-06,2018,10,6,7,42378.8333333333,-11419.121803653,0,17.5903479842222
"FR",2018-10-07,2018,10,7,1,41202.2916666667,-12595.6634703196,0,14.4549407565284
"FR",2018-10-08,2018,10,8,2,49111.7083333333,-4686.24680365297,0,14.5199382887183
"FR",2018-10-09,2018,10,9,3,49293.7083333333,-4504.24680365297,0,16.6901329829754
