"month","wday","hour","modelfit"
3,"Mon",17,1769.6818181818
3,"Mon",18,2607.50000000008
3,"Mon",19,2991.68181818181
3,"Mon",20,2519.90909090896
3,"Mon",21,1007.54545454546
3,"Mon",22,-531.590909090914
3,"Mon",23,-1791.63636363636
3,"Mon",24,-2782.45454545454
3,"Tue",1,-3677.77272727273
3,"Tue",2,-4052.28787878783
3,"Tue",3,-4004.06060606068
3,"Tue",4,-3711.56060606053
3,"Tue",5,-3092.83333333333
3,"Tue",6,-1107.74242424241
3,"Tue",7,870.803030302914
3,"Tue",8,1805.21212121207
3,"Tue",9,1963.25757575782
3,"Tue",10,1767.0757575758
3,"Tue",11,2004.66666666678
3,"Tue",12,2031.62121212136
3,"Tue",13,2050.25757575753
3,"Tue",14,1641.39393939407
3,"Tue",15,1368.89393939391
3,"Tue",16,1168.75757575756
3,"Tue",17,1394.75757575756
3,"Tue",18,2260.25757575766
3,"Tue",19,2652.98484848485
3,"Tue",20,2189.57575757562
3,"Tue",21,693.575757575759
3,"Tue",22,-850.378787878821
3,"Tue",23,-2136.60606060605
3,"Tue",24,-3169.51515151515
3,"Wed",1,-3727.41666666668
3,"Wed",2,-3995.93560606055
3,"Wed",3,-3962.66287878795
3,"Wed",4,-3670.02651515145
3,"Wed",5,-3108.89015151513
3,"Wed",6,-1043.5265151515
3,"Wed",7,957.837121212026
3,"Wed",8,1874.6098484848
3,"Wed",9,2009.74621212147
3,"Wed",10,1792.56439393943
3,"Wed",11,1970.70075757587
3,"Wed",12,1972.83712121227
3,"Wed",13,1978.15530303026
3,"Wed",14,1550.3825757577
3,"Wed",15,1255.15530303027
3,"Wed",16,1107.10984848483
3,"Wed",17,1380.74621212119
3,"Wed",18,2299.06439393948
3,"Wed",19,2708.51893939394
3,"Wed",20,2174.88257575744
3,"Wed",21,696.837121212134
3,"Wed",22,-866.617424242456
3,"Wed",23,-2179.25378787878
3,"Wed",24,-3178.48106060605
3,"Thu",1,-3743.20833333335
3,"Thu",2,-4053.96022727266
3,"Thu",3,-4032.77840909099
3,"Thu",4,-3754.46022727267
3,"Thu",5,-3207.6875
3,"Thu",6,-1229.96022727272
3,"Thu",7,777.085227272609
3,"Thu",8,1735.44886363631
3,"Thu",9,1949.7670454548
3,"Thu",10,1810.90340909095
3,"Thu",11,2097.44886363648
3,"Thu",12,2139.53977272743
3,"Thu",13,2167.94886363631
3,"Thu",14,1769.08522727286
3,"Thu",15,1453.1761363636
3,"Thu",16,1242.58522727271
3,"Thu",17,1480.67613636362
3,"Thu",18,2356.63068181827
3,"Thu",19,2666.63068181818
3,"Thu",20,2111.81249999987
3,"Thu",21,629.130681818187
3,"Thu",22,-917.460227272743
3,"Thu",23,-2211.50568181818
3,"Thu",24,-3197.05113636364
