"AICC","p","q","res_ratio"
42757.9911298167,3,8,1.10002796794443
42793.8620630969,4,8,1.09751233945549
42784.8219123118,5,8,1.10339504677115
42749.3367393311,6,8,1.13687813807025
42759.5820071382,7,8,1.11885255278562
42762.5918094569,8,8,1.092114935699
42648.439082516,9,8,1.20581368168776
42739.6642315622,10,8,1.10297182022568
42682.4724190666,11,8,1.16975238105907
42675.6369210944,12,8,1.17673466411816
42660.2383111365,13,8,1.2409996824951
42643.1381618906,14,8,1.27769740620311
42655.9730855989,15,8,1.17847596432843
42640.8803995396,16,8,1.2952217927612
42614.3449151206,17,8,1.30415122362036
42615.4713256666,18,8,1.30185459099125
42612.5694006788,19,8,1.30373721411614
42608.9297537686,20,8,1.31644563689674
42606.6259459954,21,8,1.30955792517582
42606.3711376771,22,8,1.29336430120957
